auto_abooclover	boolean	Are we considering using a clover at A-Boo Peak?
auto_aboopending	integer	The last turn of a pending A-Boo Clue. 0 if no clue active.
auto_clanstuff	string	What was the last day we did 'end of day' clan stuff.
auto_noSleepingDog	boolean	When true do not eat a Sleeping Dog.
auto_maxCandyPrice	integer	Max allowable price per candy for Rethinking Candy (default 2500)
_auto_ignoreRestoreFailureToday	boolean	if true we will for today only ignore failure to restore MP or HP and just continue playing
auto_aosol_dontUnCurse	boolean	Avatar of Shadows Over Loathing: if true will keep all cursed items.
